,1010,9,2020,2020/1～2020/3 ,1/2020 à 3/2020,1/2020 to 3/2020,魔法少女 マドカ☆マギカ 外伝 マギアレコード (前) フランス語翻訳,出版: Wakanim.tv,Magia Record: Puella Magi Madoka Magica Side Story (première partie) Traduction française,Édition: Wakanim.tv,Magia Record: Puella Magi Madoka Magica Side Story (first part) French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1020,9,2021,2021/7～2021/9,7/2021 à 9/2021,7/2021 to 9/2021,魔法少女 マドカ☆マギカ 外伝 マギアレコード (中) フランス語翻訳,出版: Wakanim.tv,Magia Record: Puella Magi Madoka Magica Side Story (deuxième partie) Traduction française,Édition: Wakanim.tv,Magia Record: Puella Magi Madoka Magica Side Story (second part) French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1030,0,2022,2022/3～2022/4,3/2022 à 4/2022,3/2022 to 4/2022,魔法少女 マドカ☆マギカ 外伝 マギアレコード (後) フランス語翻訳,出版: CRUNCHY ROLL,Magia Record: Puella Magi Madoka Magica Side Story (troisième partie) Traduction française,Édition: CRUNCHY ROLL,Magia Record: Puella Magi Madoka Magica Side Story (third part) French translation,Publishing: CRUNCHY ROLL,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1040,0,2021,2021/9～2021/10,9/2021 à 10/2021,9/2021 to 10/2021,劇場版 Fate/Grand Order -冠位時間神殿ソロモン- フランス語翻訳,出版: Wakanim.tv,Fate/Grand Order - Final Singularity - The Grand Temple of Time: Solomon Traduction française,Édition: Wakanim.tv,Fate/Grand Order - Final Singularity - The Grand Temple of Time: Solomon French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1050,0,2021,2021/3,3/2021,32/201,NARUTO－ナルト－ 疾風伝 脱出ゲーム フランス語翻訳,出版: Kana,Escape Box Naruto Shippûden Traduction française,Édition: Kana,Escape Box Naruto Shippûden French translation,Publishing: Kana,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1060,0,2021,2021/5,5/2021,5/2021,劇場版 ANEMONE／交響詩篇エウレカセブン ハイエボリューション 第2弾 フランス語翻訳,出版: All the Anime,Eureka Seven Hi Evolution - Film 2 Traduction française,Édition: All the Anime,Eureka Seven Hi Evolution - Film French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1070,0,2021,2021/4～2021/6,4/2021 à 6/2021,4/2021 to 6/2021,BLUE REFLECTION RAY/澪 フランス語翻訳,出版: Wakanim.tv,Blue Reflection Ray Traduction française,Édition: Wakanim.tv,Blue Reflection Ray French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1080,0,2021,2021/4～2021/6,4/2021 à 6/2021,4/2021 to 6/2021,スーパーカブ フランス語翻訳,出版: Wakanim.tv,Super Cub Traduction française ,Édition: Wakanim.tv,Super Cub French translation ,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1090,0,2021,2021/6,6/2021,6/2021,文豪ストレイドッグス DEAD APPLE 特典 フランス語翻訳,出版: All the Anime,Bungo Stray Dogs Dead Apple (Bonus) Traduction française ,Édition: All the Anime,Bungo Stray Dogs Dead Apple (Bonus) French translation ,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1100,0,2021,2021/7～2021/9,7/2021 à 9/2021,7/2021 to 9/2021,魔法科高校の優等生 フランス語翻訳,出版: Wakanim.tv,Honor Student at Magic High School Traduction française ,Édition: Wakanim.tv,Honor Student at Magic High School French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1110,0,2021,2021/8～2021/11,8/2021 à 11/2021,8/2021 to 11/2021,劇場版Fate/Grand Order 神聖円卓領域キャメロット(前編) フランス語翻訳,出版: Wakanim.tv,Fate Grand Order Camelot - Wandering: Agateram Traduction française ,Édition: Wakanim.tv,Fate Grand Order Camelot - Wandering: Agateram French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1120,0,2021,2021/8～2021/11,8/2021 à 11/2021,8/2021 to 11/2021,劇場版Fate/Grand Order 神聖円卓領域キャメロット(後編) フランス語翻訳,出版: Wakanim.tv,Fate Grand Order Camelot - Paladin: Agateram Traduction française ,Édition: Wakanim.tv,Fate Grand Order Camelot - Paladin: Agateram French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1130,0,2021,2021/7,7/2021,7/2021,ブラッククローバー 6～8話 (特典) フランス語翻訳,出版: All the Anime,Black Clover (Bonus) Volumes 6 à 8 Traduction française ,Édition: All the Anime,Black Clover (Bonus) Volumes 6 à 8 French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1140,0,2021,2021/12,12/2021,12/201,ブラッククローバー 9～10話 (特典) フランス語翻訳,出版: All the Anime,Black Clover (Bonus) Volumes 9 et 10 Traduction française ,Édition: All the Anime,Black Clover (Bonus) Volumes 9 et 10 French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1150,0,2021,2021/7～2021/9,7/2021 à 9/2021,7/2021 to 9/2021,ONE PIECE ショートドラマ フランス語翻訳,出版: 東映アニメーション ,One Piece Short Drama Traduction française ,Édition: Tôei Animation ,One Piece Short Drama French translation,Publishing: Tôei Animation ,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1160,0,2021,2021/8,8/2021,8/2021,『きみと、波にのれたら』湯浅正明監督インタビュー フランス語翻訳,出版: All the Anime,"Interview Yuasa Masaaki pour ""Ride your wave"" Traduction française ",Édition: All the Anime,"Yuasa Masaaki Interview for ""Ride your wave” French translation",Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1170,0,2020,2020/4～2021/9,4/2020 à 9/2021,4/2020 to 9/2021,デジモンアドベンチャー： フランス語翻訳,出版: 東映アニメーション ,Digimon Adventure 2020 Traduction française ,Édition: Tôei Animation ,Digimon Adventure 2020 French translation,Publishing: Tôei Animation ,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1180,0,2021,2021/9～2023/3,9/2021 à 3/2023,9/2021 to 3/2023,デジモンゴーストゲーム フランス語翻訳,出版: 東映アニメーション ,Digimon Ghost Game Traduction française ,Édition: Tôei Animation ,Digimon Ghost Game French translation,Publishing: Tôei Animation ,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1190,0,2022,2021/9,9/2021,9/2021,『竜とそばかすの姫』細田守監督インタビュー フランス語翻訳,出版: All the Anime,"Interview Hosoda Mamoru pour ""Belle"" Traduction française ",Édition: All the Anime,"Hosoda Mamoru Interview for “Belle"" French translation",Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1200,0,2021,2021/10～2021/12,10/2021 à 12/2021,10/2021 to 12/2021,Red Garden フランス語翻訳,出版: Wakanim.tv,Red Garden Traduction française ,Édition: Wakanim.tv,Red Garden French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1210,0,2021,2021/11,11/2021,11/2021, 劇場版 ソードアート・オンライン -プログレッシブ- 星なき夜のアリア,出版: Wakanim.tv,Sword Art Online Progressive: Aria of a Starless Night Traduction française ,Édition: Wakanim.tv,Sword Art Online Progressive: Aria of a Starless Night French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1220,0,2022,2022/11,11/2022,11/2022,でーじミーツガール フランス語翻訳,出版: All the Anime,Deiji Meets Girl Traduction française,Édition: All the Anime,Deiji Meets Girl French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1230,0,2022,2022/8,8/2022,8/2022,ラブライブ！虹ヶ咲学園スクールアイドル同好会 特典 フランス語翻訳,出版: All the Anime,Love Live Nijigasaki (Bonus) Traduction française,Édition: All the Anime,Love Live Nijigasaki (Bonus) French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1240,0,2021,2021/12,12/2021,12/2021,進撃の巨人 The Final Season 1 特典 フランス語翻訳,出版: All the Anime,L'Attaque des Titans Final Season - Partie 1 Traduction française,Édition: All the Anime,Attack on Titan Final Season - Part1 French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1250,0,2021,2021/12,12/2021,12/2021,魔法科高校の劣等生 追憶編 フランス語翻訳,出版: Wakanim.tv,Irregular at Magic High School - Reminiscence Traduction française,Édition: Wakanim.tv,Irregular at Magic High School - Reminiscence French translation,Publishing: Wakanim.tv,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1260,0,2022,2022/1,1/2022,1/2022,呪術廻戦0 (特典) フランス語翻訳,出版: CRUNCHY ROLL,Jujutsu Kaisen 0 (Bonus) Traduction française,Édition: CRUNCHY ROLL,Jujutsu Kaisen 0 (Bonus) French translation,Publishing: CRUNCHY ROLL,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1270,0,2022,2022/2,2/2022,2/2022,ACCA13区監察課 特典 フランス語翻訳,出版: All the Anime,ACCA 13 (Bonus) Traduction française,Édition: All the Anime,ACCA 13 (Bonus) French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1280,0,2022,2022/4,4/2022,4/2022,竜とそばかすの姫(特典) フランス語翻訳,出版: All the Anime,Belle (Bonus) Traduction française,Édition: All the Anime,Belle (Bonus) French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1290,0,2022,2022/3,3/2022,3/2022,劇場版 - Free!-the Final Stroke- 前編・後編 フランス語翻訳,出版: All the Anime,Free!-the Final Stroke- 1 et 2 Traduction française,Édition: All the Anime,Free!-the Final Stroke- 1 and 2 French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1300,0,2022,2022/2,2/2022,2/2022,劇場版 映画大好きポンポさん フランス語翻訳,出版: All the Anime,Pompo la Cinéphile Traduction française,Édition: All the Anime,Pompo: The Cinephile French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1310,0,2022,2022/2,2/2022,2/2022,劇場版 サマーゴースト フランス語翻訳,出版: All the Anime,Summer Ghost Traduction française,Édition: All the Anime,Summer Ghost French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1320,0,2022,2022/2,2/2022,2/2022,劇場版 君は彼方 フランス語翻訳,出版: All the Anime,Over the Sky Traduction française,Édition: All the Anime,Over the Sky French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1330,0,2022,2022/2,2/2022,2/2022,劇場版 岬のマヨイガ フランス語翻訳,出版: All the Anime,The House of the Lost on the Cape Traduction française,Édition: All the Anime,The House of the Lost on the Cape French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1340,0,2022,2022/2,2/2022,2/2022,劇場版 アイの歌声を聴かせて フランス語翻訳,出版: All the Anime,Sing a bit of harmony Traduction française,Édition: All the Anime,Sing a bit of harmony French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1350,0,2022,2022/3,3/2022,3/2022,Fate/Grand Carnival フランス語翻訳,出版: CRUNCHY ROLL,Fate/Grand Carnival Traduction française,Édition: CRUNCHY ROLL,Fate Grand Carnival French translation,Publishing: CRUNCHY ROLL,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1360,0,2022,2022/4,4/2022,4/2022,劇場版 永遠の831 フランス語翻訳,出版: All the Anime,Eternal 831 Traduction française,Édition: All the Anime,Eternal 831 French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1370,0,2022,2022/5,5/2022,5/2022,HUNTER×HUNTER ゲーム フランス語翻訳,出版: Kana,Traduction d'un jeu Hunter x Hunter pour les Éditions Kana,Édition: Kana,Hunter x Hunter Game Translation for Editions Kana,Publishing: Kana,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1380,0,2022,2022/7,7/2022,7/2022,ダイナミックヒーローズ JapanExpo2022向け紹介資料 翻訳,,Traduction de la présentation de Dynamic Heroes pour Japan Expo 2022,,Translation of Dynamic Heroes presentation for Japan Expo 2022,,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1390,0,2022,2022/6,6/2022,6/2022,劇場版 サマーゴースト 特典 フランス語翻訳,出版: All the Anime,Summer Ghost(Bonus) Traduction française,Édition: All the Anime,Summer Ghost(Bonus) French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1400,0,2022,2022/6,6/2022,6/2022,ゲーム「Graze Counter GM」Steam Achievement フランス語翻訳,,"Jeu ""Graze Counter GM” Traduction française des accomplissements Steam",,"Jeu ""Graze Counter GM"" Steam Achievements French translation",,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1410,0,2023,,,,劇場版 交響詩篇エウレカセブン ハイエボリューション 3 フランス語翻訳,出版: All the Anime,Eureka Seven Hi Evolution - Film 3 Traduction française,Édition: All the Anime,Eureka Seven Hi Evolution - Film 3 French translation,Publishing: All the Anime,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1420,0,2022,2022/7,7/2022,7/2022,ONE PIECE 倒せ!海賊ギャンザック (1998) フランス語翻訳,出版: 東映アニメーション ,ONE PIECE: Defeat Him! The Pirate Ganzack! (1998) Traduction française,Édition: Tôei Animation ,ONE PIECE: Defeat Him! The Pirate Ganzack! (1998) French translation,Publishing: Tôei Animation ,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1430,0,2022,2022/7,7/2022,7/2022,劇場版 ONE PIECE -RED- フランス語翻訳,出版: 東映アニメーション ,ONE PIECE -RED- Traduction française,Édition: Tôei Animation ,ONE PIECE -RED- French translation,Publishing: Tôei Animation ,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
,1440,0,2024,2022/7～2024/6,7/2022 à 6/2024,7/2022 to 6/2024,聖闘士星矢：Knights of the Zodiac バトル・サンクチュアリ フランス語翻訳,出版: CRUNCHY ROLL,Saint Seiya (Netflix) - Sanctuary Traduction française,Édition: CRUNCHY ROLL,Saint Seiya (Netflix) - Sanctuary French translation,Publishing: CRUNCHY ROLL,/result/logo_jsicmf.jpg,0,2024/8/6 11:28,2025/8/6 11:28,2024/8/6 11:28,2024/8/6 11:28
